Date,State,County,Area,Prcp,Snow,Temp,NumPolice,MalePopulation,FemalePopulation,AvgIncome,WhiteMale,WhiteFemale,BlackMale,BlackFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_29,Age30_34,Age35_39,Age40_44,Age45_49,Age50_54,Age55_59,Age60_64,Age65_69,Age70_74,Age75_79,Age80_84,Age85Plus,Party_Gop,Party_Dem,Party_Total
10/15/2020,Alabama,Autauga County,1565.358962,51.56,0.2,62.2,151,27092,28777,41618,0.3604503392,0.3772575131,0.0937371351,0.1073940826,0.0051191179,0.0066226351,0.0158227282,0.0140865238,0.0586550681,0.0620200827,0.068929102,0.0654924914,0.0568830657,0.0679983533,0.0632372156,0.0655282894,0.0645080456,0.0693944764,0.067568777,0.0697345576,0.0603196764,0.0480230539,0.0417047021,0.0321466287,0.0211029372,0.0167534769,19838,7503,27691
10/15/2020,Alabama,Baldwin County,5250.715256,68.03,0.1,66.35,695,108247,114987,45596,0.4024700538,0.4296030175,0.042493527,0.0452753613,0.0041749913,0.0064864671,0.0248394062,0.0223487462,0.0539299569,0.0585305106,0.0630683498,0.0586111435,0.049683292,0.0565236478,0.0562235143,0.0602327602,0.0592382881,0.0648288343,0.0641434549,0.0728697241,0.0723366512,0.0666609925,0.0589650322,0.0405090622,0.0237284643,0.019916321,83544,24578,109351
10/15/2020,Alabama,Barbour County,2342.683354,50.14,0,64.8,98,13064,11622,35199,0.2387588107,0.2163574496,0.2556509763,0.2266466823,0.0022279835,0.0024710362,0.0254800292,0.0197682897,0.0530260066,0.0570363769,0.0597909746,0.0567933242,0.0602365713,0.0723081909,0.0676091712,0.0625860812,0.0572389208,0.0639228713,0.0609252208,0.0692295228,0.0623835372,0.0608036944,0.0552944989,0.0380377542,0.02377866,0.0189986227,5622,4816,10506
10/15/2020,Alabama,Bibb County,1621.769561,57.575,0.5,61.6,47,11929,10465,30254,0.3787621684,0.3653210681,0.1313298205,0.0813610789,0.0010270608,0.0011163705,0.0153166027,0.0125033491,0.0556399035,0.0534964723,0.0566669644,0.0571135125,0.0595248727,0.0770742163,0.0718496026,0.0684111816,0.0630079486,0.0724301152,0.0683218719,0.0676967045,0.0620701974,0.0516209699,0.0459944628,0.0317942306,0.0199160489,0.0173707243,7525,1986,9585
10/15/2020,Alabama,Blount County,1685.119329,55.41,1.7,61.1,110,28472,29354,34976,0.4235810881,0.4441254799,0.0089233217,0.0079894857,0.001469927,0.0017293259,0.0510151143,0.0455158579,0.0594542247,0.0629301698,0.0667173936,0.0620309203,0.0552173763,0.0620828001,0.0580880573,0.060941445,0.0599730225,0.0668903262,0.0664407014,0.0689309307,0.0632933283,0.0572579808,0.0525369211,0.0354338879,0.022757929,0.019022585,24711,2640,27560
10/15/2020,Alabama,Bullock County,1619.114156,53.595,0.3,63.2,24,5508,4593,28797,0.1336501337,0.0763290763,0.3675873676,0.335016335,0.0008910009,0.0011880012,0.0444510445,0.0410850411,0.0559350559,0.0606870607,0.060984061,0.0515790516,0.0595980596,0.0753390753,0.0705870706,0.0724680725,0.0655380655,0.0610830611,0.0572220572,0.0707850708,0.0688050688,0.056034056,0.0426690427,0.0289080289,0.0228690229,0.0189090189,1146,3446,4611
10/15/2020,Alabama,Butler County,2014.703706,58.27,0.15,63.5,72,9024,10424,36450,0.2432126697,0.2677396133,0.1997634718,0.25,0.0086384204,0.0057075278,0.0078671329,0.006993007,0.056561086,0.0606746195,0.0649424105,0.0590806253,0.0564068285,0.0584121761,0.0556869601,0.0639654463,0.057795146,0.0601090086,0.0561497326,0.0689531057,0.0730666392,0.0649424105,0.050493624,0.0367132867,0.0272007404,0.0288461538,5458,3965,9482
10/15/2020,Alabama,Calhoun County,1585.817198,50.715,1.15,62.5,338,54481,59124,37120,0.3466132653,0.3704678491,0.0987632587,0.1143699661,0.0035297742,0.0054839136,0.0207561287,0.0198582809,0.0578143568,0.0566172264,0.062655693,0.065402051,0.0632014436,0.0697416487,0.062021918,0.0606047269,0.0595044232,0.0597156815,0.0627085075,0.0698648827,0.0692839224,0.0598213107,0.0484485718,0.0333436028,0.0205448704,0.0187051626,35101,15216,50870
10/15/2020,Alabama,Chambers County,1562.057248,52.315,0.1,61.6,143,15895,17359,33859,0.2656823239,0.2855596319,0.1870752391,0.2148312985,0.0072171769,0.0040295904,0.0141937812,0.0119985566,0.0565946954,0.0581884886,0.0588500632,0.0546701149,0.0566247669,0.0712996933,0.0558429061,0.0538581825,0.055782763,0.0646238047,0.0660371685,0.0739159199,0.0717808384,0.0637216575,0.053888254,0.0388825404,0.0223431768,0.023094966,8753,6365,15259
10/15/2020,Alabama,Cherokee County,1553.931673,52.035,,59.7,61,12926,13270,35505,0.4517101848,0.4649946557,0.021300962,0.01965949,0.0014124294,0.0025194686,0.0087417926,0.0083982287,0.0463047794,0.0505420675,0.056840739,0.0562299588,0.0495877233,0.0580622996,0.0492059856,0.0487860742,0.0541304016,0.0658879218,0.0697052985,0.0757367537,0.0836768972,0.0703924263,0.0673003512,0.0466101695,0.0289738891,0.0220262636,10583,1624,12289
10/15/2020,Alabama,Chilton County,1815.069206,53.6,0.225,62.86666667,102,21800,22628,34798,0.3879310345,0.4106869542,0.0505762132,0.0528720627,0.0019582245,0.0029260827,0.0447915729,0.037048708,0.0610200774,0.067164851,0.0683352841,0.0639461601,0.0563158369,0.0672773926,0.0592644278,0.0596920861,0.0627982353,0.0643062933,0.0650040515,0.0682677591,0.0655442514,0.0562032952,0.0462321059,0.0315341676,0.0187944539,0.0182992707,16085,3073,19281
10/15/2020,Alabama,Choctaw County,2385.014306,55.495,0.4,65,24,5938,6651,39280,0.2746842482,0.2885852729,0.1882595917,0.2291683216,0.000556041,0.0014298197,0.0043688935,0.0057987132,0.0525855906,0.0500436889,0.0570339185,0.0578282628,0.0516323775,0.0579076972,0.0460719676,0.0523472873,0.0546508857,0.0599729923,0.0677575661,0.079275558,0.0770513941,0.067916435,0.0632298038,0.0471046151,0.0298673445,0.027722615,4296,3127,7461
10/15/2020,Alabama,Clarke County,3244.151994,59.15666667,0.3,64.35,72,11153,12469,36361,0.2515875032,0.269494539,0.206502413,0.2437134874,0.0019473372,0.0024130048,0.0068580137,0.0062653459,0.0580391161,0.0558801118,0.0594784523,0.062992126,0.0602404538,0.0639657946,0.0492337651,0.0568961138,0.0564727796,0.0622301245,0.0658707984,0.0737448142,0.0699348065,0.0581237829,0.0536364406,0.0416560833,0.0278130556,0.0237913809,7324,5755,13128
10/15/2020,Alabama,Clay County,1569.537036,58.15,2.2,60.8,38,6447,6788,33530,0.3926709482,0.4108046845,0.0655081224,0.0723082735,0.0014355875,0.0014355875,0.0174537212,0.0154136759,0.0528900642,0.0557612391,0.0590857575,0.0556101247,0.0578768417,0.056667926,0.052814507,0.0582546279,0.0547034379,0.0655836796,0.0714015867,0.0777483944,0.071174915,0.0638458632,0.0511522478,0.0426142803,0.0293917643,0.0234227427,5601,1267,6921
10/15/2020,Alabama,Cleburne County,1453.018836,55.05,1.7,60.2,37,7340,7570,36159,0.4570757881,0.471093226,0.0129443327,0.0154929577,0.0006706908,0.0015425889,0.0142186452,0.0117370892,0.0601609658,0.0627095909,0.0639168343,0.059490275,0.0497652582,0.0620389001,0.0544600939,0.0581488934,0.0551307847,0.0714956405,0.0665325285,0.0745808182,0.0598256204,0.0613682093,0.0565392354,0.039637827,0.0213950369,0.0228034876,6484,675,7219
10/15/2020,Alabama,Coffee County,1762.473116,56.175,0.2,66.6,144,25742,26600,43094,0.3425165259,0.351725192,0.0846165603,0.091456192,0.0061136372,0.0106606549,0.0418210997,0.0378663406,0.0610408467,0.0654541286,0.0697527798,0.063046884,0.0578311872,0.0630659891,0.0626647816,0.0655687593,0.0628367277,0.0672309044,0.0636964579,0.062894043,0.0623782049,0.0534179053,0.0479156318,0.0309693936,0.0214932559,0.0187421191,16899,5076,22239
10/15/2020,Alabama,Colbert County,1614.902599,55.23,2.2,60.33333333,176,26408,28833,38378,0.3737984468,0.4034322333,0.0743650549,0.0878152097,0.0027515794,0.0040187542,0.0167448091,0.0156405568,0.056715121,0.0579641933,0.0600821853,0.0548867689,0.0557194837,0.069042921,0.0610235151,0.0586158831,0.0568418385,0.0627251498,0.0655853442,0.0705997357,0.0698937383,0.0618019225,0.0511395521,0.0388841621,0.0255969298,0.0228815554,19203,8343,27818
