GeoName,LineCode,Description,Unit,Year,Value
United States,1,Personal income (thousands of dollars),Thousands of dollars,2018,17514402000
United States,2,Population (persons) 1/,Number of persons,2018,328542157
United States,3,Per capita personal income (dollars) 2/,Dollars,2018,53309
Alabama,1,Personal income (thousands of dollars),Thousands of dollars,2018,205674190
Alabama,2,Population (persons) 1/,Number of persons,2018,4976395
Alabama,3,Per capita personal income (dollars) 2/,Dollars,2018,41330
"Autauga, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,2371211
"Autauga, AL",2,Population (persons) 1/,Number of persons,2018,57728
"Autauga, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,41076
"Baldwin, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,10139295
"Baldwin, AL",2,Population (persons) 1/,Number of persons,2018,221132
"Baldwin, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,45852
"Barbour, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,842907
"Barbour, AL",2,Population (persons) 1/,Number of persons,2018,25380
"Barbour, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33211
"Bibb, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,672223
"Bibb, AL",2,Population (persons) 1/,Number of persons,2018,22383
"Bibb, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,30033
"Blount, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,2072951
"Blount, AL",2,Population (persons) 1/,Number of persons,2018,58765
"Blount, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,35275
"Bullock, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,272084
"Bullock, AL",2,Population (persons) 1/,Number of persons,2018,10443
"Bullock, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,26054
"Butler, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,704744
"Butler, AL",2,Population (persons) 1/,Number of persons,2018,19312
"Butler, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,36493
"Calhoun, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,4154359
"Calhoun, AL",2,Population (persons) 1/,Number of persons,2018,116622
"Calhoun, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,35622
"Chambers, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1139957
"Chambers, AL",2,Population (persons) 1/,Number of persons,2018,35071
"Chambers, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,32504
"Cherokee, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,925082
"Cherokee, AL",2,Population (persons) 1/,Number of persons,2018,24978
"Cherokee, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,37036
"Chilton, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1536627
"Chilton, AL",2,Population (persons) 1/,Number of persons,2018,44608
"Chilton, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,34447
"Choctaw, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,488690
"Choctaw, AL",2,Population (persons) 1/,Number of persons,2018,12984
"Choctaw, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,37638
"Clarke, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,847451
