State,Month,Handle,Revenue,Hold,Taxes
United States,6/1/2018,309695659,24630915,0.08,1895011
United States,7/1/2018,294006820,8433994,0.029,926804
United States,8/1/2018,359275692,23625881,0.066,2524419
United States,9/1/2018,817681310,95358434,0.117,12245073
United States,10/1/2018,854014077,45832391,0.054,5217752
United States,11/1/2018,996071884,54349323,0.055,6272898
United States,12/1/2018,990933059,82266923,0.083,11262831
United States,1/1/2019,1002092655,43052327,0.043,6529559
United States,2/1/2019,881756490,51972715,0.059,4515655
United States,3/1/2019,1095599580,79856363,0.073,10746670
United States,4/1/2019,731628959,52524099,0.072,7496899
United States,5/1/2019,724074602,32939800,0.045,4843870
United States,6/1/2019,685786299,34150011,0.05,4727521
United States,7/1/2019,581017296,37075760,0.064,5068934
United States,8/1/2019,750692735,62738953,0.084,8243580
United States,9/1/2019,1381692847,143317497,0.104,21232130
United States,10/1/2019,1559104891,155108642,0.099,22455266
United States,11/1/2019,1877044887,113770997,0.061,18117771
United States,12/1/2019,1870346374,114143414,0.061,17343390
United States,1/1/2020,1800052757,139845880,0.078,24038427
United States,2/1/2020,1731395665,84328330,0.049,10255014
United States,3/1/2020,612379377,35297033,0.058,6970933
United States,4/1/2020,167875839,9762318,0.058,2025900
United States,5/1/2020,315226816,25350115,0.08,4337755
United States,6/1/2020,447471765,29732415,0.066,5621836
United States,7/1/2020,906977542,72384321,0.08,10711534
United States,8/1/2020,2191669452,129761682,0.059,19172265
United States,9/1/2020,2875270552,156615169,0.054,20297227
United States,10/1/2020,3276726385,291317909,0.089,46294360
United States,11/1/2020,3484288518,309007013,0.089,52707862
United States,12/1/2020,3797269693,277472250,0.073,44608025
United States,1/1/2021,4370440098,378653248,0.087,54733343
United States,2/1/2021,4013657606,225993459,0.056,30326038
United States,3/1/2021,4629130324,357366025,0.077,46072934
United States,4/1/2021,3703934150,283202902,0.076,40986651
United States,5/1/2021,3714799742,273387615,0.074,40128243
United States,6/1/2021,3676060695,335906085,0.091,49792686
United States,7/1/2021,2799391495,268126230,0.096,37810988
United States,8/1/2021,3071879791,224622673,0.073,29293371
United States,9/1/2021,5491749708,450808836,0.082,51990345
United States,10/1/2021,7546972781,448627693,0.059,55031304
United States,11/1/2021,7405646041,725367326,0.098,99002593
United States,12/1/2021,7339244974,381002482,0.052,38936353
United States,1/1/2022,9749393395,637441784,0.065,130501485
United States,2/1/2022,7939395270,391967457,0.049,70522520
United States,3/1/2022,9262257730,623923142,0.067,119075504
United States,4/1/2022,7476187515,527088608,0.071,111570936
United States,5/1/2022,6686988033,610261607,0.091,122646968
United States,6/1/2022,5480948489,334079739,0.061,71013754
United States,7/1/2022,4533090868,407128610,0.09,84837874
United States,8/1/2022,4909529483,526908745,0.107,109743862
United States,9/1/2022,7919599327,934400945,0.118,175269630
United States,10/1/2022,9684589668,843130409,0.087,170315228
United States,11/1/2022,10020250696,800107859,0.08,173637791
United States,12/1/2022,10053933645,954897119,0.095,174548920
United States,1/1/2023,11472691111,1061426937,0.093,189743795
United States,2/1/2023,9009612531,707276780,0.079,134393673
United States,3/1/2023,11262697287,1079620124,0.096,205034587
United States,4/1/2023,9162332942,861978310,0.094,172752931
United States,5/1/2023,8140809202,919711311,0.113,184862571
United States,6/1/2023,6610619363,547710209,0.083,114229777
United States,7/1/2023,5900641332,618948317,0.105,129013719
United States,8/1/2023,6677587228,620631645,0.093,121967232
United States,9/1/2023,11596336338,1117054945,0.096,209185639
United States,10/1/2023,12802336483,1227196058,0.096,236083223
United States,11/1/2023,14474065653,935881918,0.065,180100122
United States,12/1/2023,13965188901,1355315338,0.097,267091034
United States,1/1/2024,13875554966,1503994173,0.108,298296147
United States,2/1/2024,11315712953,897972271,0.079,175756967
United States,3/1/2024,13926096719,1112028023,0.08,214979346
United States,4/1/2024,12075789487,1155268528,0.096,236093802
United States,5/1/2024,11050384236,1159174947,0.105,247733409
United States,6/1/2024,6193891830,583962576,0.094,137430707
