State,Month,Handle,Revenue,Hold,Taxes
Arizona,9/1/2021,291212868,32308342,0.111,31393
Arizona,10/1/2021,486097352,37510371,0.077,1022841
Arizona,11/1/2021,466725687,51416143,0.11,3177148
Arizona,12/1/2021,499213733,39822928,0.08,1723902
Arizona,1/1/2022,563694591,41890200,0.074,1952971
Arizona,2/1/2022,491665554,25629835,0.052,670686
Arizona,3/1/2022,690979294,38898393,0.056,1864457
Arizona,4/1/2022,512877848,30441992,0.059,1647450
Arizona,5/1/2022,461450688,56193286,0.122,4125125
Arizona,6/1/2022,318774198,12601356,0.04,766831
Arizona,7/1/2022,290511533,22684581,0.078,1496427
Arizona,8/1/2022,361008835,37161759,0.103,2767590
Arizona,9/1/2022,537966149,56428816,0.105,3058838
Arizona,10/1/2022,618570296,49392417,0.08,2963716
Arizona,11/1/2022,616855045,56028195,0.091,3876208
Arizona,12/1/2022,572490899,55581725,0.097,3724395
Arizona,1/1/2023,591220794,47486817,0.08,2886502
Arizona,2/1/2023,609278096,35412452,0.058,1609581
Arizona,3/1/2023,644763991,53523947,0.083,3704268
Arizona,4/1/2023,535712027,49163323,0.092,3429846
Arizona,5/1/2023,451717025,49458507,0.109,3376059
Arizona,6/1/2023,393198858,28331608,0.072,1633356
Arizona,7/1/2023,323211485,35343495,0.109,2678598
Arizona,8/1/2023,358875474,31681151,0.088,2128096
Arizona,9/1/2023,610716285,60115066,0.098,3243222
Arizona,10/1/2023,648208573,56868981,0.088,3287799
Arizona,11/1/2023,713586704,42333282,0.059,2023887
Arizona,12/1/2023,693310960,67697686,0.098,4817325
Arizona,1/1/2024,706382861,70943718,0.1,4610005
Arizona,2/1/2024,637485879,54329589,0.085,2788885
Arizona,3/1/2024,759807633,59289055,0.078,3784200
Arizona,4/1/2024,656322666,64489906,0.098,4328378
Arizona,5/1/2024,568493315,62444214,0.11,4307143
Arkansas,7/1/2019,416160,76885,0.185,9995
Arkansas,8/1/2019,778249,58858,0.076,7652
Arkansas,9/1/2019,2252196,183044,0.081,23796
Arkansas,10/1/2019,2216369,380006,0.171,49401
Arkansas,11/1/2019,2978235,181497,0.061,23595
Arkansas,12/1/2019,2633806,455368,0.173,59198
Arkansas,1/1/2020,2587732,254811,0.098,33263
Arkansas,2/1/2020,4294366,411589,0.096,67494
Arkansas,3/1/2020,1588403,222373,0.14,38310
Arkansas,4/1/2020,0,0,,0
Arkansas,5/1/2020,509,-115,-0.226,-15
Arkansas,6/1/2020,1189,10,0.008,1
Arkansas,7/1/2020,179315,-19633,-0.109,-2552
Arkansas,8/1/2020,1008992,69625,0.069,9051
Arkansas,9/1/2020,3958748,397095,0.1,51622
Arkansas,10/1/2020,6559859,940513,0.143,122267
Arkansas,11/1/2020,6288249,975984,0.155,126878
Arkansas,12/1/2020,6415446,1054273,0.164,137055
Arkansas,1/1/2021,7187194,1383240,0.192,180474
Arkansas,2/1/2021,4469442,651239,0.146,92922
Arkansas,3/1/2021,5947427,805182,0.135,130877
Arkansas,4/1/2021,4065703,756328,0.186,131137
Arkansas,5/1/2021,3687207,506142,0.137,81710
Arkansas,6/1/2021,3895683,382940,0.098,59088
Arkansas,7/1/2021,2908833,449040,0.154,58375
Arkansas,8/1/2021,2892285,310481,0.107,40363
Arkansas,9/1/2021,7007774,809404,0.116,105223
Arkansas,10/1/2021,9506183,803567,0.085,104464
Arkansas,11/1/2021,8380191,1623434,0.194,211047
Arkansas,12/1/2021,7794292,130305,0.017,6188
Arkansas,1/1/2022,8775932,1181335,0.135,153574
Arkansas,2/1/2022,5876444,359103,0.061,61390
Arkansas,3/1/2022,10686501,791867,0.074,119671
Arkansas,4/1/2022,8598226,749810,0.087,120297
Arkansas,5/1/2022,10185647,615576,0.06,117426
Arkansas,6/1/2022,12632207,4045,0,12598
Arkansas,7/1/2022,9290467,854436,0.092,111077
Arkansas,8/1/2022,10195911,1015339,0.1,131994
Arkansas,9/1/2022,21185547,3208032,0.151,417044
Arkansas,10/1/2022,26879107,2793719,0.104,363183
Arkansas,11/1/2022,30576009,2999450,0.098,452393
Arkansas,12/1/2022,30936485,3409972,0.11,449690
Arkansas,1/1/2023,32976264,2868244,0.087,439379
Arkansas,2/1/2023,29532263,1709714,0.058,254925
Arkansas,3/1/2023,37474412,4264047,0.114,626042
Arkansas,4/1/2023,25452659,2336023,0.092,349633
Arkansas,5/1/2023,22777209,2293281,0.101,458656
Arkansas,6/1/2023,22708945,1334973,0.059,266995
Arkansas,7/1/2023,17577626,2077422,0.118,270065
Arkansas,8/1/2023,22553214,1673538,0.074,217560
Arkansas,9/1/2023,41002257,3992930,0.097,519081
Arkansas,10/1/2023,44986803,5825161,0.129,757271
Arkansas,11/1/2023,54770449,3018845,0.055,392450
Arkansas,12/1/2023,52952226,5762757,0.109,783089
Arkansas,1/1/2024,50698701,5855921,0.116,894654
Arkansas,2/1/2024,40947811,2672209,0.065,413682
Arkansas,3/1/2024,50031696,3406749,0.068,510490
Arkansas,4/1/2024,41763742,3788712,0.091,568356
Arkansas,5/1/2024,39823867,3556977,0.089,700934
Arkansas,6/1/2024,31416492,3227769,0.103,645554
Colorado,5/1/2020,25621762,2565729,0.1,96545
Colorado,6/1/2020,38136949,3484015,0.091,217945
Colorado,7/1/2020,59183620,5196599,0.088,239153
Colorado,8/1/2020,128646209,7519599,0.058,189326
Colorado,9/1/2020,207655943,4166334,0.02,69772
Colorado,10/1/2020,210719821,17402409,0.083,806618
Colorado,11/1/2020,231238842,18354655,0.079,780635
Colorado,12/1/2020,284551472,17151867,0.06,531495
Colorado,1/1/2021,326903462,23144535,0.071,1194690
Colorado,2/1/2021,266549207,10444810,0.039,333976
Colorado,3/1/2021,300990842,20365119,0.068,1061008
Colorado,4/1/2021,244446760,17563939,0.072,1083812
Colorado,5/1/2021,248968193,15129108,0.061,633896
Colorado,6/1/2021,229764688,19730957,0.086,1186455
Colorado,7/1/2021,181327995,15652461,0.086,999111
Colorado,8/1/2021,211918185,15228343,0.072,728518
Colorado,9/1/2021,408314625,22658630,0.055,483048
Colorado,10/1/2021,491453342,28616708,0.058,1246804
Colorado,11/1/2021,475441229,36781848,0.077,1981640
Colorado,12/1/2021,461448574,24732487,0.054,770561
Colorado,1/1/2022,573720213,34640219,0.06,1447952
Colorado,2/1/2022,440508421,19604490,0.045,314731
Colorado,3/1/2022,505611080,28238194,0.056,1313076
Colorado,4/1/2022,392311737,22571887,0.058,1231742
Colorado,5/1/2022,360325438,27119329,0.075,1659189
Colorado,6/1/2022,313215081,6781092,0.022,268280
Colorado,7/1/2022,258414808,20802881,0.081,1092182
Colorado,8/1/2022,290107970,25859270,0.089,1822272
Colorado,9/1/2022,450232597,51339659,0.114,2989342
Colorado,10/1/2022,526619777,36514974,0.069,2330705
Colorado,11/1/2022,552603013,37569022,0.068,2581533
Colorado,12/1/2022,518088768,40909238,0.079,2583711
Colorado,1/1/2023,547189025,35482562,0.065,2586457
Colorado,2/1/2023,425142877,22599602,0.053,1257332
Colorado,3/1/2023,494440210,45935669,0.093,3103024
Colorado,4/1/2023,417814147,35148592,0.084,2582615
Colorado,5/1/2023,385242136,31406903,0.082,2218084
Colorado,6/1/2023,310656478,9223661,0.03,441951
Colorado,7/1/2023,281110490,24962106,0.089,1778773
Colorado,8/1/2023,306065791,25873058,0.085,1806025
Colorado,9/1/2023,512792794,45276517,0.088,3126136
Colorado,10/1/2023,554859801,46914492,0.085,3351482
Colorado,11/1/2023,608488266,28585606,0.047,1489224
Colorado,12/1/2023,716430270,40537499,0.057,3682335
Colorado,1/1/2024,596685968,53490323,0.09,4128369
Colorado,2/1/2024,536988261,25762378,0.048,1302174
Colorado,3/1/2024,593094977,45041776,0.076,2852592
Colorado,4/1/2024,509508228,32028036,0.063,1910656
Colorado,5/1/2024,447561934,44991355,0.101,3206326
Connecticut,10/1/2021,54641474,5567547,0.102,512951
Connecticut,11/1/2021,131729179,17456823,0.133,1712136
Connecticut,12/1/2021,150073755,10242899,0.068,929336
Connecticut,1/1/2022,158092481,11891808,0.075,1142510
Connecticut,2/1/2022,115619953,5844220,0.051,501516
Connecticut,3/1/2022,140747137,11511388,0.082,1037570
Connecticut,4/1/2022,116465199,10353842,0.089,988263
Connecticut,5/1/2022,115180155,10308064,0.089,981304
Connecticut,6/1/2022,95421852,7142610,0.075,669453
Connecticut,7/1/2022,78316775,8611816,0.11,859094
Connecticut,8/1/2022,80037045,10882317,0.136,1153125
Connecticut,9/1/2022,130547719,17608762,0.135,1777391
Connecticut,10/1/2022,164170106,17012667,0.104,1736473
Connecticut,11/1/2022,165026282,17869847,0.108,1942387
Connecticut,12/1/2022,160266050,16268906,0.102,1736006
Connecticut,1/1/2023,167673044,19610098,0.117,1919290
Connecticut,2/1/2023,136508300,11626147,0.085,1175694
Connecticut,3/1/2023,159997579,17029646,0.106,1855821
Connecticut,4/1/2023,126683869,13610074,0.107,1458730
Connecticut,5/1/2023,109421369,15271178,0.14,1645394
Connecticut,6/1/2023,91414677,9752058,0.107,961577
Connecticut,7/1/2023,91512897,11126316,0.122,1215313
Connecticut,8/1/2023,91316807,9797155,0.107,1027171
Connecticut,9/1/2023,180954956,18900892,0.104,2048710
Connecticut,10/1/2023,189626160,19849187,0.105,2243142
Connecticut,11/1/2023,205736989,12862839,0.063,1416233
Connecticut,12/1/2023,212171045,22813764,0.108,2569806
Connecticut,1/1/2024,202752249,25570170,0.126,2864562
Connecticut,2/1/2024,162841632,14820348,0.091,1598679
Connecticut,3/1/2024,187815980,16981438,0.09,1892701
Connecticut,4/1/2024,154109876,19105482,0.124,2133325
Connecticut,5/1/2024,163648829,17941322,0.11,1973947
Connecticut,6/1/2024,148557056,15626345,0.105,1695681
Delaware,6/1/2018,7003725,1000247,0.143,196323
Delaware,7/1/2018,8214765,527115,0.064,275671
Delaware,8/1/2018,8018354,983052,0.123,538543
Delaware,9/1/2018,23257965,7807511,0.336,4703849
Delaware,10/1/2018,21231427,2565957,0.121,1460148
Delaware,11/1/2018,24206090,2505848,0.104,1155765
Delaware,12/1/2018,23419539,5810007,0.248,3407848
Delaware,1/1/2019,14130069,2687370,0.19,1516520
Delaware,2/1/2019,8709205,-616941,-0.071,-483414
Delaware,3/1/2019,10483128,1879045,0.179,982447
Delaware,4/1/2019,6088183,703739,0.116,367524
Delaware,5/1/2019,5920766,464335,0.078,242081
Delaware,6/1/2019,6325464,533377,0.084,278491
Delaware,7/1/2019,3920974,579897,0.148,303225
Delaware,8/1/2019,4745747,586057,0.123,290170
Delaware,9/1/2019,18781406,5979895,0.318,3558378
Delaware,10/1/2019,16066023,4640776,0.289,2691088
Delaware,11/1/2019,16850854,4235148,0.251,2463260
Delaware,12/1/2019,20466561,4174862,0.204,2324290
Delaware,1/1/2020,11187011,2527312,0.226,1386819
Delaware,2/1/2020,7279650,-410665,-0.056,-367301
Delaware,3/1/2020,3877068,653127,0.168,340952
Delaware,4/1/2020,0,0,,-104
Delaware,5/1/2020,0,0,,-15
Delaware,6/1/2020,0,0,,-33
Delaware,7/1/2020,209282,13845,0.066,7040
Delaware,8/1/2020,2957634,419561,0.142,220175
Delaware,9/1/2020,12439302,2803022,0.225,1596046
Delaware,10/1/2020,17086034,4945186,0.289,2877725
Delaware,11/1/2020,19510093,8162861,0.418,5018419
Delaware,12/1/2020,15696681,4408081,0.281,2645802
Delaware,1/1/2021,15649254,3288405,0.21,1798838
Delaware,2/1/2021,7519710,679021,0.09,313006
Delaware,3/1/2021,6666115,1104859,0.166,577524
Delaware,4/1/2021,5470520,1023199,0.187,534814
Delaware,5/1/2021,7060911,775611,0.11,404929
Delaware,6/1/2021,5958137,737984,0.124,385357
Delaware,7/1/2021,4110581,724765,0.176,378599
Delaware,8/1/2021,5251471,541621,0.103,269110
Delaware,9/1/2021,13702755,4420661,0.323,2658149
